"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"CZE",2007,21325.094843924845929711,41.367775244188369485
"DEU",2007,93223.625022642032929331,995.960685903830420753
"DMA",2007,40.30000140911838057,0.89062927858289947
"DNK",2007,4381.407303646209017776,29.704993831213106640
"DOM",2007,16059.06185619258475451,1020.61288164205638748
"DZA",2007,5201.55658304570365253,3389.609678367167155614
"ECU",2007,60539.50436842983254471,2444.71587877381993591
"EGY",2007,78.27013988799046255,23.06054769443576640
"ESP",2007,60256.316847675766502246,7030.036656639412131269
"EST",2007,16188.59506714234227749,226.626468917561052189
"ETH",2007,25608.57311327891880340,28.11934243916666708
"FIN",2007,151914.877908359563069871,1648.702694274316784328
"FJI",2007,2148.46709783723685015,77.57006966291992030
"FRA",2007,49246.17317442384290803,1193.650199376953339330
"GAB",2007,16501.47574793807282170,75.21146969744320601
"GBR",2007,31222.419594956201097206,2359.429229229141220104
"GEO",2007,992.44600007769442866,266.73990261866091276
"GHA",2007,40172.37055943878247164,37.25844348837185119
"GIN",2007,33821.27135082502404295,77.42077676722656278
"GLP",2007,158.30311890426700595,1.10899282069498708
"GMB",2007,49.60546797636610041,0.0
"GNB",2007,6044.02762128896328755,5.42760296866536449
"GNQ",2007,3141.52725152519477180,8.07473479893863331
"GRC",2007,46061.556959819349980265,37270.797628948104070336
"GRD",2007,67.81289337326607059,0.30116950457085502
"GTM",2007,126556.72461971334316924,11048.88018599552246864
"GUF",2007,3328.10883444342048506,223.73984491131977833
"GUY",2007,5249.63206042180920320,338.59790335930244317
"HKG",2007,29.58773663790906763,2.06658201220160596
"HND",2007,42412.38495594271742805,2372.30242591626463501
"HRV",2007,3237.11240446082154395,368.93402625859132759
"HTI",2007,2077.21167648227546981,77.15547821089735353
"HUN",2007,9361.071277145455003101,146.28852614630640068
"IDN",2007,1387625.29248693114505512,216277.41551720284270111
"IMN",2007,30.388384622630222346,8.40999021513238058
"IND",2007,73906.51985679137219643,2396.73108303842034807
"IRL",2007,11681.90158088568095566,1141.106030328851697476
"IRN",2007,131.059276322434920506,17.190033202235241554
"IRQ",2007,10.328544856586372214,1.30457815482747395
"ISR",2007,47.96047012410915568,3.20249402379231758
"ITA",2007,11590.055713960641064294,1875.169407678662757968
"JAM",2007,1269.91525929929833640,18.95178884166775149
"JOR",2007,0.39192569674804695,0.3264934999414063
"JPN",2007,45585.77815929652191028,851.026803162852702054
"KAZ",2007,4605.437639402059265715,1658.313001629935604426
"KEN",2007,26102.96008148192180682,109.73825243598310179
"KGZ",2007,107.429333463059947716,61.03278555049914650
"KHM",2007,77676.05563455803400166,1276.41857840217162273
"KNA",2007,12.28689484910264834,0.14717311423828128
"KOR",2007,8096.166334524994903810,1282.066308376964077551
"LAO",2007,132995.12583232490552823,423.30273626275177201
"LBN",2007,273.03032151809895985,102.34790044194142701
"LBR",2007,44282.08227644728035449,182.08285474524443467
"LBY",2007,4.29091529814561629,1.36521139734049485
"LCA",2007,48.57569600165419986,2.69056394073621982
"LIE",2007,8.433932016634114976,0.0
"LKA",2007,10241.81995895063088183,139.79857009103109323
"LSO",2007,3.01869057673611073,0.0
"LTU",2007,16036.749411471379811153,112.62149421459852642
"LUX",2007,502.232574656069857875,0.24943959112196180
"LVA",2007,36128.753704251943950924,267.38729538417756402
"MAC",2007,4.426782339772139,0.2855801009082032
"MAF",2007,2.7095450124674481,0.0
"MAR",2007,2513.07049537886863462,718.30605870628275259
"MDA",2007,236.26282216566624697,17.179704403441842290
"MDG",2007,188580.08889703695049037,6977.87331911022342168
"MDV",2007,6.19346760023498518,0.0
"MEX",2007,218600.75424724900272090,17114.75958384450010396
"MKD",2007,3862.343733109458929074,1772.910973801336982244
"MLI",2007,125.08522385789603801,0.5217175381005860
"MLT",2007,0.81383764453125006,0.0
"MMR",2007,146598.31829907425528166,2740.35512618815704081
"MNE",2007,1051.424388987703916114,451.95856859461619243
"MNG",2007,48081.70457461037595908,46149.93093208640445482
"MOZ",2007,138492.60656505943304855,1047.25676644661797867
"MSR",2007,10.47386602865343370,3.17163481978190121
"MTQ",2007,155.67514304319500160,1.48998072972439241
"MUS",2007,131.71048106381727808,0.0
"MWI",2007,7494.46104183060386572,26.59190783338542282
"MYS",2007,405158.51252411784983357,6585.12732493045071940
"MYT",2007,20.04483602257812347,0.07509898371527778
"NAM",2007,80.07489581565645764,0.21537762190972226
"NCL",2007,975.11347330660351477,293.03877361470232455
"NER",2007,0.07517093559895834,0.0
"NGA",2007,24572.53018412536408641,81.25862353530897370
"NIC",2007,88499.91150329737082625,1652.02557706791361730
"NLD",2007,1646.094034669323328473,23.860966134960937076
"NOR",2007,31841.161950344415254684,795.781325401176338510
"NPL",2007,3465.50226913828278177,436.19257008153323108
"NZL",2007,62642.623405375816218972,1983.259597358586974342
"PAK",2007,1123.46310421062040375,741.12929464216511131
"PAN",2007,20644.52749151598280643,1001.58130683828277910
"PER",2007,115742.77874036546565770,5816.68129825961722116
"PHL",2007,66498.02542142657743816,847.37988289502279729
"PLW",2007,90.63736881960152006,6.48462734873562326
"PNG",2007,49173.00345922209426283,1864.84676134953354621
"POL",2007,57310.996582623972007625,246.506966295661914134
"PRI",2007,1037.45105638170918531,16.03200981444987017
"PRK",2007,13289.301162017614335146,3389.45794655284787093
"PRT",2007,36321.938748207602186610,3344.768222974796253808
"PRY",2007,426216.13022154267679921,24291.04969398825698334
"PSE",2007,1.17988217136935774,0.0
"ROU",2007,38081.92609849490014067,1158.09114971358894507
"RUS",2007,2338922.621709936996159247,1324476.865700376180773587
"RWA",2007,1429.97672468487336558,0.23069119034484864
"SDN",2007,184.9207849259210890,0.90199039373806425
"SEN",2007,172.32132610701827032,0.52582347317437067
"SGP",2007,74.44906843084171316,0.76911934852240670
"SLB",2007,5665.31338035628080920,67.32768347236410019
"SLE",2007,21878.47752794356551607,89.97634335967775317
"SLV",2007,2984.15894803268707921,123.66391773447807109
"SMR",2007,0.9479525586957465,0.05573355229166667
"SOM",2007,270.58776249335278154,9.9104776310195253
"SPM",2007,0.10590869027777779,0.0
"SRB",2007,2254.056465011240322239,459.661319740448988234
"SSD",2007,9523.60993101579271088,47.23225961404758604
"SUR",2007,3625.82787790440757534,225.60178857258842388
"SVK",2007,9485.823045255948578255,62.11244679600261909
"SVN",2007,2106.65848425832587283,141.306476992550313310
"SWE",2007,182858.036755871471346904,1941.505857342662769219
"SWZ",2007,6469.37108747376466936,56.60750609145834983
"SXM",2007,5.42039527814453248,0.14650180466254342
"SYR",2007,1577.23688230899970329,1159.351953904301994966
"TCA",2007,73.54047559605249439,7.58164450066840355
"TCD",2007,1001.07737120784425532,0.9831052382438151
"TGO",2007,3187.39356798613016723,0.99047028724772136
"THA",2007,92628.55864115548331063,1010.89228167320079573
"TJK",2007,14.03999339971788319,3.100201957619357875
"TKM",2007,37.80768805042751904,5.85018878666666780
"TLS",2007,1555.90178066275161582,108.06842140947916344
"TTO",2007,1108.58661231666071968,32.45331597684516350
"TUN",2007,878.480331185896196599,286.082428106245546035
"TUR",2007,25344.14620437301172811,4472.588979906946903456
"TWN",2007,1729.67014367837348429,43.05619908245660053
"TZA",2007,121685.21293915603877454,429.55791778696380642
"UGA",2007,36627.18579275747212432,19.06132981026345196
"UKR",2007,64266.439653482262489231,1682.016090108990706081
"URY",2007,21529.69941755585101033,516.95770665623903969
"USA",2007,2435127.979680965822682244,581029.873142074871650688
"UZB",2007,43.11389129414930138,5.43898473732855821
"VCT",2007,23.15694366338270839,0.59976748742567280
"VEN",2007,114346.97972348773857016,10226.25444594744108597
"VGB",2007,6.13866634203776191,0.43850598780707466
"VIR",2007,25.06351792785156272,0.2193877566796875
"VNM",2007,80225.30123363219397630,1273.83401993097733243
