tsc_tree_cover_loss_drivers__driver,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Commodity driven deforestation,3079846.9044425385,3864099.1682014023,3479094.6182103874,5025403.422901559,4585284.063213467,4099295.9214391606,4270305.945209145,4288088.194042196,4314718.562685771,4476162.231670042,4204066.663420909,5563957.289032191,3350793.0905579077,4702557.814535751,4072347.536008836,6954390.937219715,5601573.484346019,4165859.751747,4610306.206423518,4424561.787320036,4142854.945866041,4282218.416582152,4461753.864061416
Forestry,4962431.498744251,5069275.125180579,4346269.341654016,6620583.922557658,6317127.230098349,6342433.516125156,6813735.240361753,6632385.361348498,5881944.537564503,6377513.548328919,6179602.999002127,7358077.780507479,5568749.244469882,6717825.4460596,6196915.588168057,8613805.067670971,8997429.920021277,7588273.321510495,7836779.983609573,7719886.194333036,7480572.293060339,7052336.948613719,8052844.885600733
Shifting agriculture,2973188.8299314487,3157836.7383828,2513569.408124697,2916230.670757832,3389563.0424693674,3185705.8340297462,3710399.2531190407,3621425.4066632073,4024295.4125470174,4333850.28904211,3474879.9222906968,4346120.461723444,4909361.975209032,6409810.519453422,4930807.191610477,8326819.647163187,8688690.492487485,6696494.225208525,6171300.485115727,6733925.719222416,5996186.348896044,6040814.140788995,6602620.489223907
Unknown,126508.06118719296,106061.1986328087,69774.40130111319,116343.00328215168,95886.82065198403,102405.2435525134,101500.16013246514,103315.57282440098,108864.50660582168,114064.74701708827,102167.59224957028,171530.2875689641,112054.56072936096,94485.50455914362,43430.804381508766,74181.31940060414,76879.15614892266,57609.394429994885,63261.12866952942,76897.37852695347,66856.41459726654,58486.27002795781,10802.127275616309
Urbanization,134446.89054442555,123233.23131655244,104681.13161401034,158950.2593340816,155002.31149081915,166266.37994891207,161337.78642488088,133740.95978660035,105243.20846369638,111381.0580234884,101862.32824370662,127671.65590658,106687.92195671589,126609.19228332189,107847.94600525154,154905.8755562273,187119.3609270384,159559.7087956703,145418.44250708108,146126.896265959,142653.432009021,137446.486806563,123073.99301980212
Wildfire,2078230.0148338345,4132231.2496326766,3961972.106775962,5071207.669351768,3555428.4167766864,3753630.5092818392,3330678.4623081037,3832192.624063296,2556643.123680914,3140388.8411911046,3516644.2163237697,5964962.8687857045,6595615.750126056,5681425.682551561,4270981.045143966,5550691.255420711,5826341.847603992,6082037.1408170555,5347150.693835665,6702943.782781535,7444745.134878698,5247698.498076868,9004975.309383295
