name,avg_loss,avg_fire_loss
Russia,3636997.531338833,2531088.9871549928
Brazil,2997069.0676712017,459894.81932223524
Canada,2499199.5743675535,1561656.9228061165
United States,2081151.3027027992,552904.9280612393
Indonesia,1340996.1040716,127240.94565998018
