title,Global annual tree cover loss by dominant driver
tsc_driver_group,all
highlighted,false
extent_year,2000
threshold,30
start_year,2001
end_year,2023
date_downloaded,2024-10-14
metadata,https://api.resourcewatch.org/v1/gfw-metadata/tsc_tree_cover_loss_drivers_v2023
link,https://www.globalforestwatch.org/dashboards/global/?category=forest-change&location=WyJnbG9iYWwiXQ%3D%3D
